SourceId,Target,DaysSinceLast,LastPayment,DaysSinceLast2,LastPayment2
d75d3f2b-8ca7-433f-81a0-ba1d00c9ce35-0009565180,314.76,17,314.76,10,314.76
80584ee4-59ee-4a64-aa93-d0a8b2908f07-0584780301,87.23,7,87.23,7,82.23
80584ee4-59ee-4a64-aa93-d0a8b2908f07-0584780301,87.23,7,87.23,7,87.23
80584ee4-59ee-4a64-aa93-d0a8b2908f07-0584780301,82.23,7,87.23,7,87.23
80584ee4-59ee-4a64-aa93-d0a8b2908f07-0584780301,87.23,7,82.23,7,87.23
5faf20e1-a9be-4fc2-92dd-f05e07560def-0533222833,122.31,14,122.31,14,122.31
5faf20e1-a9be-4fc2-92dd-f05e07560def-0533222833,122.31,14,122.31,14,122.31
5cea3638-54f4-4c27-856d-9394f8e5e751-0541337451,159.31,14,159.31,13,159.31
5cea3638-54f4-4c27-856d-9394f8e5e751-0541337451,159.31,14,159.31,14,159.31
767d731b-7c5b-45c0-a09b-d3486a42dd27-0009300319,398.78,14,511.89,14,481.04
586632fc-6ebd-454c-8e2e-dc7e661a8fd6-0011784239,106.08,7,73.76,7,106.08
586632fc-6ebd-454c-8e2e-dc7e661a8fd6-0011784239,106.08,7,106.08,7,73.76
586632fc-6ebd-454c-8e2e-dc7e661a8fd6-0011784239,106.08,7,106.08,7,106.08
586632fc-6ebd-454c-8e2e-dc7e661a8fd6-0011784239,106.08,7,106.08,7,106.08
b498f6fb-5208-43ad-a71b-0d470f56510a-0010205754,145.06,7,154.83,6,141.59
b498f6fb-5208-43ad-a71b-0d470f56510a-0010205754,137.27,7,145.06,7,154.83
b498f6fb-5208-43ad-a71b-0d470f56510a-0010205754,154,7,137.27,7,145.06
d89c356d-4109-4b1d-b27b-e160e156eefa-0009950262,62.5,7,62.5,7,62.5
d89c356d-4109-4b1d-b27b-e160e156eefa-0009950262,62.5,7,62.5,7,62.5
d89c356d-4109-4b1d-b27b-e160e156eefa-0009950262,62.5,7,62.5,7,62.5
d89c356d-4109-4b1d-b27b-e160e156eefa-0009950262,62.5,7,62.5,7,62.5
d89c356d-4109-4b1d-b27b-e160e156eefa-0011655672,53.54,7,56.54,7,56.54
d89c356d-4109-4b1d-b27b-e160e156eefa-0011655672,56.54,7,53.54,7,56.54
d89c356d-4109-4b1d-b27b-e160e156eefa-0011655672,56.54,7,56.54,7,53.54
d89c356d-4109-4b1d-b27b-e160e156eefa-0011655672,56.54,7,56.54,7,56.54
84fcccee-06da-4471-9496-704328f6ce39-0012254645,98.38,14,49.08,14,106
84fcccee-06da-4471-9496-704328f6ce39-0012254645,66.46,14,98.38,14,49.08
fdef380e-4f41-4732-9e04-ebde1e86fc0f-0554561511,39.21,19,124.38,14,166.62
991bd290-fa60-4132-bcaa-25162fb511b7-0012044195,180.46,13,148.54,14,180.46
991bd290-fa60-4132-bcaa-25162fb511b7-0012044195,148.54,14,180.46,13,148.54
f3494cac-2e93-427f-b8ad-da89b827c03c-0009840094,101.31,8,101.31,6,101.31
f3494cac-2e93-427f-b8ad-da89b827c03c-0009840094,101.31,6,101.31,8,101.31
f3494cac-2e93-427f-b8ad-da89b827c03c-0009840094,101.31,7,101.31,6,101.31
be20d2bd-84b4-40bf-85b0-b40915961188-0601724091,30,7,30,6,30
be20d2bd-84b4-40bf-85b0-b40915961188-0601724091,30,14,30,7,30
be20d2bd-84b4-40bf-85b0-b40915961188-0601724091,60,4,30,14,30
be20d2bd-84b4-40bf-85b0-b40915961188-0601724091,30,3,60,4,30
b0449281-473c-438c-b813-5f0ab3ce07dd-97003413N1,16.56,7,16.56,8,16.56
b0449281-473c-438c-b813-5f0ab3ce07dd-97003413N1,16.56,7,16.56,7,16.56
b0449281-473c-438c-b813-5f0ab3ce07dd-97003413N1,16.56,6,16.56,7,16.56
b0449281-473c-438c-b813-5f0ab3ce07dd-97003413N1,16.56,7,16.56,6,16.56
b657e1c1-c16c-4723-9f96-ec5dec342e12-0011529199,215.54,10,215.54,18,215.54
b657e1c1-c16c-4723-9f96-ec5dec342e12-0011529199,215.54,17,215.54,10,215.54
ee3c807c-fcb6-4b7b-a76f-4fb6830ea44c-0011752257,46.52,7,46.52,7,46.52
ee3c807c-fcb6-4b7b-a76f-4fb6830ea44c-0011752257,46.52,8,46.52,7,46.52
ee3c807c-fcb6-4b7b-a76f-4fb6830ea44c-0011752257,46.52,6,46.52,8,46.52
ee3c807c-fcb6-4b7b-a76f-4fb6830ea44c-0011752257,46.52,7,46.52,6,46.52
6387f777-0437-4c96-93bb-7f87014be25c-4643332311,218,14,248,14,218
6387f777-0437-4c96-93bb-7f87014be25c-4643332311,248,14,218,14,248
043571d1-7636-4dcc-9070-e1da9c96d342-0011738587,274.62,13,274.62,15,274.62
043571d1-7636-4dcc-9070-e1da9c96d342-0011738587,274.62,14,274.62,13,274.62
3e843383-2787-4ea4-9dd6-a1598ef3279e-0011253037,102.69,7,102.69,7,102.69
